aX,aY,aZ,gX,gY,gZ
-0.596,-2.199,0.211,14.343,-71.838,-183.228
-0.607,-2.296,0.140,45.410,31.982,-171.326
-0.297,-2.367,0.090,84.473,57.251,-202.270
0.287,-2.283,0.303,90.637,45.471,-206.726
0.534,-2.184,0.375,82.153,52.429,-145.691
0.719,-1.929,0.402,73.853,67.444,-79.102
0.273,-1.598,0.516,39.490,53.589,64.453
-0.027,-1.448,0.567,-15.442,6.714,126.099
-0.345,-1.179,0.603,-38.696,-12.878,127.258
-0.388,-1.088,0.581,-61.890,-33.447,114.136
-0.378,-1.059,0.512,-60.608,-33.813,107.849
-0.332,-1.033,0.522,-45.288,-19.897,107.910
-0.178,-0.916,0.585,-39.734,-8.606,114.868
-0.105,-0.862,0.587,-45.593,9.277,131.897
0.054,-0.652,0.587,-54.749,11.597,141.052
0.114,-0.512,0.600,-76.965,6.897,160.706
0.123,-0.320,0.620,-84.412,6.348,169.739
0.093,-0.293,0.635,-78.125,9.094,177.612
0.098,-0.144,0.758,-66.223,12.207,174.255
0.133,-0.024,0.826,-40.527,24.353,158.203
0.303,0.143,0.906,-35.034,26.917,150.940
0.370,0.212,0.911,-39.124,14.709,153.015
0.367,0.439,0.874,-36.438,9.766,156.982
0.330,0.557,0.855,-6.897,10.803,145.874
0.308,0.681,0.939,8.606,7.446,128.235
0.308,0.702,1.026,15.015,-2.625,106.201
0.342,0.675,1.188,-4.333,-25.696,62.805
0.329,0.656,1.212,-20.325,-29.297,48.645
0.325,0.609,1.189,-30.273,-6.775,38.635
0.348,0.507,1.095,-19.775,8.423,37.598
0.360,0.482,1.041,1.526,24.658,40.222
0.422,0.394,0.945,4.883,23.315,40.588
0.457,0.342,0.922,10.010,-1.892,42.603
0.483,0.257,0.906,13.733,-19.531,42.480
0.475,0.208,0.929,17.578,-38.269,24.841
0.482,0.174,0.998,13.306,-36.438,11.841
0.517,0.136,0.984,-2.563,-18.616,-1.404
0.573,0.076,0.909,-2.319,-10.986,-0.122
0.573,0.075,0.893,15.259,-6.226,6.409
0.535,0.080,0.917,22.217,-7.019,7.874
0.512,0.074,0.943,21.973,-12.329,4.700
0.472,0.073,0.993,15.869,-14.465,0.854
0.466,0.058,0.990,2.930,-11.108,-4.822
0.482,-0.002,0.955,0.000,-7.812,-4.517
0.489,-0.019,0.944,0.671,-5.493,0.000
0.490,-0.032,0.938,1.221,-5.249,2.686
0.484,-0.037,0.936,-2.197,-4.578,9.399
0.442,-0.027,0.920,-4.517,-3.357,12.451
0.413,-0.023,0.914,-6.104,0.488,15.137
0.378,-0.023,0.908,-6.165,1.038,13.611
0.382,-0.030,0.904,-7.263,-1.526,8.301
0.406,-0.057,0.907,-8.240,-3.479,7.507
0.407,-0.054,0.909,-9.155,-4.333,7.385
0.390,-0.023,0.892,-8.484,-1.282,7.385
0.385,-0.023,0.896,-5.310,0.793,6.836
0.392,-0.033,0.951,3.113,0.549,2.380
0.406,-0.044,0.971,4.150,-1.282,-0.244
0.436,-0.068,0.983,-0.488,-4.028,-2.869
0.441,-0.066,0.978,-2.808,-3.052,-1.831
0.437,-0.057,0.967,-3.113,2.502,3.113
0.417,-0.040,0.938,-1.160,4.456,4.211
0.409,-0.042,0.931,4.883,1.099,2.197
0.408,-0.059,0.963,6.287,-2.991,0.488
0.409,-0.064,0.980,-0.183,-6.897,0.549
0.395,-0.054,0.957,-4.395,-4.578,2.380
0.361,-0.020,0.906,-3.784,4.333,6.226
0.350,0.000,0.893,-0.916,7.019,6.409
0.349,0.009,0.887,1.648,3.845,1.709
0.365,0.005,0.882,1.465,0.305,-0.854
0.377,-0.001,0.887,0.488,-2.808,-3.235
0.406,-0.020,0.900,-1.038,-2.136,-2.808
0.413,-0.028,0.903,-4.395,0.854,-0.305
0.416,-0.009,0.908,-6.165,3.174,-0.549
0.422,-0.000,0.898,-9.583,8.118,-3.113
0.429,-0.006,0.876,-9.155,9.338,-3.662
0.432,-0.014,0.875,-3.662,8.301,-3.113
0.438,-0.013,0.894,-0.610,6.287,-2.502
0.433,-0.006,0.906,1.526,3.235,-1.160
0.423,0.001,0.918,1.099,3.418,-1.526
0.423,-0.004,0.920,-0.305,5.249,-4.028
0.432,0.002,0.923,-1.099,5.981,-4.272
0.431,0.011,0.918,-3.174,7.019,-2.258
0.430,0.013,0.906,-2.563,6.958,-1.953
0.431,0.011,0.914,1.404,4.883,-3.906
0.431,0.012,0.935,2.625,4.456,-4.883
0.427,0.022,0.932,3.784,6.226,-6.470
0.418,0.052,0.924,4.395,7.263,-7.080
0.419,0.060,0.934,4.211,4.639,-7.874
0.438,0.061,0.950,2.563,1.160,-7.324
0.443,0.073,0.958,2.258,-4.456,-4.150
0.445,0.094,0.983,3.967,-4.944,-4.150
0.449,0.095,0.991,8.179,-4.211,-8.423
0.472,0.110,1.007,10.559,-4.089,-10.193
0.481,0.135,1.034,12.329,-5.249,-10.864
0.492,0.244,1.070,10.864,-9.460,-12.817
0.503,0.298,1.066,11.536,-11.230,-14.954
0.518,0.349,1.068,23.193,-16.663,-20.935
0.561,0.462,1.114,31.128,-20.813,-25.208
0.572,0.528,1.149,45.959,-28.870,-37.781
0.550,0.691,1.189,52.734,-29.907,-46.753
0.504,0.771,1.196,73.730,-26.428,-72.449
0.406,0.993,1.287,87.463,-22.705,-85.266
0.385,1.121,1.328,103.271,-0.427,-98.145
0.263,1.143,1.178,103.271,15.930,-101.440
0.135,1.076,1.030,99.670,20.996,-107.544
-0.170,0.957,0.828,98.206,9.705,-110.107
-0.342,0.823,0.731,80.261,-13.794,-128.174
-0.605,0.328,0.492,65.063,-26.245,-144.348
-0.694,-0.025,0.361,44.189,-56.274,-192.505
-0.712,-0.972,0.207,41.687,-72.510,-219.116
-0.692,-1.510,0.209,39.185,-91.736,-242.920
-0.629,-2.468,0.296,38.086,-81.360,-238.525
-0.480,-2.831,0.368,52.246,-16.907,-227.417
0.201,-3.224,0.498,62.988,16.357,-219.849
0.550,-3.283,0.499,67.749,63.782,-151.611
0.825,-3.068,0.318,55.298,93.933,-78.247
0.727,-2.763,0.227,-2.625,140.137,129.150
-0.030,-1.963,0.123,-40.466,137.146,217.285
-0.428,-1.637,0.041,-94.727,92.407,254.639

0.174,0.912,1.349,-10.620,-27.832,75.500
0.167,0.667,1.273,-28.381,-26.917,52.307
0.143,0.559,1.210,-26.917,-4.822,41.748
0.135,0.387,1.106,-18.433,11.597,33.447
0.159,0.324,1.088,-9.338,30.945,14.404
0.260,0.234,1.041,-16.357,30.640,7.202
0.310,0.176,0.986,-34.729,23.193,3.662
0.368,0.061,0.870,-36.926,22.827,7.507
0.394,0.021,0.842,-27.039,25.269,15.625
0.427,0.081,0.827,-16.235,23.315,17.212
0.425,0.130,0.839,3.357,8.789,21.362
0.395,0.172,0.902,6.042,-1.404,21.729
0.375,0.203,0.938,0.061,-13.367,7.935
0.415,0.190,0.948,-2.136,-11.902,-4.517
0.493,0.127,0.937,4.944,-5.371,-22.278
0.635,0.019,0.955,11.658,-5.554,-23.621
0.660,-0.006,0.966,19.409,-6.836,-17.700
0.663,-0.060,0.961,20.935,-4.333,-14.038
0.646,-0.081,0.963,20.020,1.404,-7.263
0.573,-0.059,0.952,16.113,1.648,-3.784
0.528,-0.040,0.928,10.925,-1.221,0.244
0.462,-0.047,0.922,13.550,-2.930,-1.648
0.444,-0.062,0.954,17.273,-6.592,-7.141
0.434,-0.103,1.022,13.855,-8.545,-7.080
0.428,-0.111,1.032,2.747,-8.118,1.282
0.391,-0.094,1.010,-0.916,-4.517,5.615
0.380,-0.079,0.986,-1.770,2.869,5.920
0.387,-0.063,0.948,-0.793,3.845,4.211
0.396,-0.066,0.934,-3.113,1.526,2.930
0.410,-0.068,0.893,-4.578,-0.122,3.479
0.404,-0.060,0.876,-0.732,-0.366,5.432
0.388,-0.063,0.880,1.953,-0.061,4.578
0.399,-0.071,0.889,0.793,-4.761,0.793
0.400,-0.063,0.894,0.549,-7.263,1.404
0.380,-0.052,0.893,5.737,-3.845,2.625
0.373,-0.076,0.906,7.568,-2.380,0.061
0.387,-0.091,0.919,4.517,-6.775,-3.296
0.376,-0.065,0.926,2.930,-6.470,-1.099
0.359,-0.054,0.918,4.456,3.052,-0.183
0.376,-0.090,0.907,4.700,4.150,-3.418
0.388,-0.098,0.908,0.977,-3.601,-5.188
0.363,-0.068,0.913,0.671,-3.479,-3.174
0.340,-0.048,0.916,4.456,5.127,-3.296
0.343,-0.061,0.915,5.310,6.836,-6.653
0.368,-0.082,0.914,2.197,1.831,-11.536
0.420,-0.109,0.926,0.488,0.061,-10.620
0.440,-0.115,0.934,-2.075,1.343,-5.554
0.454,-0.109,0.935,-2.563,2.258,-3.418
0.453,-0.105,0.933,-0.916,3.296,-1.160
0.461,-0.109,0.928,-1.404,2.808,-0.671
0.465,-0.108,0.920,-4.578,-0.610,2.319
0.442,-0.083,0.901,-3.845,-0.977,4.456
0.420,-0.065,0.896,1.648,2.258,5.493
0.396,-0.065,0.893,3.113,2.136,3.845
0.400,-0.081,0.893,0.122,-4.944,1.099
0.401,-0.093,0.902,-0.977,-7.202,1.587
0.392,-0.091,0.917,0.610,-2.808,4.028
0.371,-0.082,0.930,0.244,0.000,4.761
0.363,-0.075,0.922,-0.610,1.099,4.761
0.362,-0.072,0.908,-0.427,1.038,2.380
0.370,-0.075,0.905,-0.244,0.977,0.610
0.376,-0.075,0.902,-0.732,0.000,-1.099
0.380,-0.076,0.893,-0.610,-0.488,-1.343
0.383,-0.079,0.893,0.305,-1.038,-1.587
0.390,-0.083,0.899,0.549,-1.343,-1.526
0.394,-0.085,0.903,-0.061,-1.465,-1.465
0.402,-0.088,0.914,-0.244,-0.854,-0.977
0.404,-0.087,0.918,-0.549,0.793,0.061
0.405,-0.084,0.916,-1.099,1.221,-0.183
0.410,-0.086,0.912,-1.282,0.732,-0.610
0.410,-0.086,0.915,-0.854,0.549,-0.183
0.407,-0.083,0.918,-1.221,0.427,0.854
0.403,-0.072,0.912,-1.770,0.244,1.160
0.401,-0.067,0.905,-0.916,1.038,1.038
0.394,-0.068,0.906,0.183,2.014,0.183
0.397,-0.073,0.910,-0.366,1.465,-1.282
0.409,-0.083,0.907,-1.526,0.000,-0.916
0.411,-0.087,0.910,-1.282,-1.038,0.854
0.415,-0.092,0.919,-0.793,-0.732,1.892
0.412,-0.089,0.920,-0.671,-0.610,3.784
0.398,-0.080,0.918,-0.427,-0.366,4.089
0.393,-0.079,0.922,0.427,0.732,3.174
0.387,-0.073,0.922,0.183,0.977,2.441
0.385,-0.070,0.917,-0.122,1.343,0.977
0.398,-0.080,0.909,-0.366,0.977,0.183
0.405,-0.084,0.910,-2.075,-2.319,0.061
0.407,-0.084,0.914,-2.258,-2.930,0.671
0.408,-0.085,0.915,-0.977,0.183,1.709
0.405,-0.082,0.907,-0.549,1.221,2.197
0.402,-0.077,0.905,-0.183,-0.549,2.075
0.398,-0.076,0.912,0.244,-1.587,1.648
0.397,-0.077,0.920,0.366,-1.526,1.465
0.395,-0.077,0.927,-0.488,-0.977,1.831
0.391,-0.072,0.922,-1.526,0.122,1.892
0.387,-0.065,0.913,-1.160,0.244,1.404
0.389,-0.064,0.915,-1.221,-0.732,0.244
0.390,-0.062,0.909,-1.099,-0.488,-0.122
0.393,-0.065,0.906,-0.244,0.671,-0.427
0.400,-0.074,0.909,-0.366,0.122,-0.122
0.400,-0.074,0.912,-0.977,-1.221,1.282
0.395,-0.067,0.913,-0.793,-0.732,1.404
0.396,-0.066,0.915,-0.366,-0.305,0.793
0.402,-0.073,0.919,-0.305,-1.526,-0.427
0.404,-0.076,0.919,-0.671,-2.014,-0.427
0.406,-0.080,0.920,-0.488,-0.366,-0.122
0.404,-0.078,0.917,-0.977,0.122,0.183
0.399,-0.075,0.910,-2.136,-0.793,1.221
0.399,-0.073,0.907,-1.770,-0.549,1.282
0.395,-0.066,0.900,-0.610,1.038,1.587
0.388,-0.063,0.896,-0.061,1.282,1.770
0.391,-0.077,0.911,0.427,-0.854,0.061
0.398,-0.083,0.918,-0.610,-2.808,-0.366
0.392,-0.076,0.919,-1.526,-2.380,1.404
0.389,-0.073,0.916,-0.488,0.366,1.770
0.386,-0.065,0.911,0.244,1.404,0.977
0.382,-0.061,0.910,0.122,-0.366,0.366
0.382,-0.064,0.914,0.916,-1.648,-1.282
0.393,-0.077,0.927,0.122,-1.648,-0.977
0.392,-0.073,0.922,-2.380,-1.221,1.038

0.596,0.770,1.393,14.832,-29.419,-4.333
0.514,0.883,1.487,31.311,-49.255,-7.629
0.323,1.170,1.659,39.978,-51.880,-16.479
0.199,1.263,1.658,58.838,-33.386,-45.715
0.165,1.199,1.584,74.219,-7.751,-86.060
0.094,0.930,1.298,79.468,2.686,-109.436
0.058,0.756,1.103,95.947,20.874,-152.588
-0.041,0.492,0.789,107.727,23.804,-169.373
-0.130,0.362,0.677,124.817,16.785,-190.979
-0.320,-0.061,0.469,125.854,10.620,-201.111
-0.314,-0.385,0.375,100.891,-18.433,-205.261
-0.218,-0.972,0.229,76.355,-44.067,-185.303
-0.205,-1.207,0.155,39.429,-52.551,-130.188
-0.283,-1.624,0.053,35.706,-27.222,-112.000
-0.300,-1.792,0.011,50.476,39.673,-112.671
-0.047,-2.100,0.002,58.167,52.673,-127.808
0.178,-2.177,0.089,59.814,25.208,-147.400
0.615,-2.159,0.360,57.251,17.395,-132.446
0.708,-2.099,0.459,52.917,25.391,-96.863
0.520,-1.891,0.477,23.499,54.626,6.958
0.295,-1.743,0.434,-1.892,57.007,55.542
0.072,-1.596,0.377,-45.898,42.664,110.168
-0.244,-1.341,0.286,-58.167,30.884,114.380
-0.333,-1.235,0.255,-72.754,6.226,95.337
-0.320,-1.120,0.219,-79.407,-5.859,86.670
-0.264,-1.056,0.235,-97.168,-27.405,96.497
-0.201,-0.908,0.264,-105.896,-27.832,109.802
-0.162,-0.817,0.270,-111.755,-9.766,140.381
-0.065,-0.498,0.336,-107.483,-1.404,155.273
-0.042,-0.353,0.377,-91.125,0.488,174.194
-0.037,-0.182,0.483,-79.407,-8.118,175.049
-0.042,-0.121,0.576,-53.223,-31.555,159.668
-0.017,0.128,0.815,-42.419,-36.133,143.250
0.037,0.312,0.924,-22.095,-25.208,105.408
0.141,0.520,1.091,-13.550,-20.630,92.041
0.135,0.593,1.166,-1.526,-22.949,68.115
0.101,0.679,1.247,6.409,-22.522,49.683
0.126,0.686,1.291,33.325,-20.874,7.751
0.159,0.579,1.395,45.105,-22.827,-7.751
0.189,0.499,1.442,49.683,-24.536,-19.958
0.257,0.441,1.507,45.166,-21.118,-19.653
0.289,0.414,1.477,28.625,-3.235,-18.738
0.370,0.283,1.290,22.278,4.700,-19.531
0.409,0.192,1.196,19.592,7.141,-14.587
0.464,0.033,1.120,19.226,1.099,-9.094
0.464,-0.014,1.114,12.390,-16.357,-2.808
0.435,-0.097,1.087,8.423,-20.935,-2.502
0.425,-0.152,1.072,4.089,-19.409,-2.136
0.418,-0.226,1.027,2.380,-16.968,-0.854
0.407,-0.236,0.992,1.831,-12.207,3.235
0.366,-0.232,0.931,4.089,-8.728,4.150
0.350,-0.239,0.919,6.409,-6.165,4.150
0.323,-0.256,0.923,6.714,-7.690,4.944
0.305,-0.255,0.928,5.066,-9.155,5.737
0.286,-0.247,0.930,2.136,-7.019,6.104
0.254,-0.227,0.926,1.892,-4.211,5.249
0.250,-0.231,0.927,2.625,0.732,2.991
0.275,-0.245,0.944,1.099,1.526,3.113
0.288,-0.248,0.941,-5.737,1.038,6.287
0.290,-0.246,0.913,-6.836,1.709,7.019
0.288,-0.245,0.902,-1.709,4.822,5.554
0.289,-0.246,0.911,1.099,4.700,4.150
0.288,-0.251,0.927,0.854,0.916,3.296
0.284,-0.254,0.949,-0.977,-0.305,3.784
0.280,-0.250,0.952,-2.563,1.709,4.822
0.269,-0.237,0.947,-2.502,2.991,4.944
0.268,-0.232,0.943,-1.770,2.808,3.967
0.269,-0.223,0.948,-1.282,2.258,3.967
0.262,-0.220,0.950,-1.526,3.113,4.822
0.262,-0.227,0.938,-2.319,3.113,4.639
0.265,-0.225,0.938,-2.808,0.183,4.761
0.253,-0.208,0.945,-1.831,0.244,4.395
0.253,-0.210,0.942,-0.183,2.014,2.625
0.282,-0.238,0.934,0.549,1.526,-1.770
0.291,-0.245,0.937,-0.671,-1.709,-1.770
0.270,-0.240,0.953,0.610,-1.648,0.549
0.267,-0.245,0.958,1.648,1.404,0.610
0.278,-0.253,0.952,-0.183,1.953,-0.610
0.280,-0.254,0.947,-1.282,1.160,-0.610
0.280,-0.251,0.941,-1.831,3.052,-0.061
0.279,-0.249,0.935,-2.563,3.601,0.244
0.276,-0.243,0.931,-3.296,2.136,0.305
0.265,-0.234,0.934,-3.174,1.587,-0.061
0.264,-0.232,0.934,-3.357,2.075,-0.427
0.263,-0.220,0.929,-3.418,3.113,-0.183
0.264,-0.214,0.925,-3.296,5.249,-0.061
0.276,-0.214,0.925,-2.869,5.066,-0.488
0.283,-0.213,0.930,-2.502,3.235,-1.709
0.303,-0.222,0.929,-2.808,2.808,-1.892
0.309,-0.222,0.927,-3.418,3.357,-0.244
0.299,-0.214,0.920,-3.479,4.272,0.793
0.295,-0.215,0.917,-2.808,3.967,1.465
0.290,-0.215,0.924,-2.380,1.770,1.221
0.288,-0.217,0.931,-1.038,-0.610,0.366
0.284,-0.225,0.944,0.000,0.732,0.183
0.284,-0.228,0.948,-0.610,1.953,0.366
0.289,-0.234,0.940,-2.075,0.854,0.122
0.296,-0.239,0.932,-2.686,0.549,0.183
0.306,-0.237,0.917,-2.258,1.526,1.282
0.298,-0.227,0.913,-1.038,2.136,4.211
0.275,-0.212,0.913,0.000,1.465,3.723
0.272,-0.212,0.913,0.732,-2.014,-0.061
0.273,-0.215,0.916,1.770,-3.052,-1.160
0.274,-0.223,0.927,4.150,-0.854,-0.549
0.278,-0.232,0.949,3.174,-0.244,0.244
0.274,-0.229,0.953,0.183,-1.465,0.916
0.263,-0.219,0.957,0.122,-0.732,0.366
0.264,-0.221,0.953,-0.549,2.197,-1.587
0.285,-0.227,0.929,-1.831,2.197,-2.014
0.293,-0.224,0.917,-2.380,2.258,-1.160
0.299,-0.220,0.913,-1.465,2.808,-1.221
0.305,-0.223,0.917,-1.221,2.380,-1.648
0.306,-0.225,0.916,-2.441,-0.549,-0.732
0.299,-0.224,0.911,-1.892,0.061,0.427
0.294,-0.223,0.908,1.038,3.601,1.343
0.294,-0.222,0.913,1.343,2.686,1.160
0.291,-0.222,0.919,0.305,-1.770,0.671
0.280,-0.224,0.932,1.160,-1.343,0.244
0.281,-0.227,0.939,2.258,0.793,-0.732

0.119,-2.016,0.560,54.138,20.447,-107.666
0.140,-2.020,0.617,31.860,37.415,-63.782
0.114,-1.899,0.650,21.973,45.959,-39.917
0.059,-1.781,0.608,9.888,71.228,14.221
-0.133,-1.561,0.441,6.531,81.787,39.978
-0.192,-1.467,0.387,-12.024,71.411,78.918
-0.196,-1.326,0.350,-31.433,49.194,92.529
-0.196,-1.283,0.347,-67.322,6.226,110.596
-0.172,-1.112,0.382,-75.073,0.671,118.591
-0.129,-0.959,0.424,-72.998,20.447,142.944
-0.021,-0.669,0.516,-71.594,33.997,154.663
0.037,-0.548,0.561,-84.167,44.556,166.809
0.125,-0.302,0.608,-94.604,38.330,171.020
0.144,-0.145,0.621,-97.107,19.409,167.908
0.169,0.167,0.705,-81.787,11.353,156.433
0.178,0.238,0.783,-42.725,-12.695,127.686
0.201,0.339,1.016,-30.823,-27.832,114.075
0.223,0.404,1.146,-21.179,-38.818,88.867
0.318,0.524,1.307,-21.057,-31.982,80.200
0.339,0.549,1.298,-19.653,-11.963,73.792
0.312,0.521,1.164,-16.846,-5.798,70.618
0.277,0.493,1.085,-12.756,-4.578,66.528
0.201,0.432,1.013,3.174,-10.193,49.316
0.183,0.402,1.033,12.390,-13.428,35.522
0.182,0.352,1.058,15.564,-20.691,15.320
0.189,0.252,1.103,12.512,-24.597,16.846
0.155,0.232,1.110,8.484,-21.545,23.010
0.099,0.176,1.055,10.193,-13.611,18.127
0.112,0.128,1.023,19.958,-5.798,-1.099
0.202,0.016,1.025,23.132,-9.766,-10.254
0.255,-0.033,1.046,19.043,-20.569,-19.531
0.328,-0.094,1.046,14.893,-20.325,-20.020
0.342,-0.122,1.027,12.573,-5.798,-15.808
0.366,-0.176,0.991,11.169,1.160,-11.841
0.370,-0.183,0.973,3.296,1.404,-6.226
0.383,-0.196,0.944,1.770,-0.305,-7.446
0.395,-0.214,0.944,5.737,1.770,-10.254
0.406,-0.251,0.961,6.592,3.906,-7.935
0.399,-0.260,0.961,1.465,4.944,1.526
0.359,-0.247,0.950,-1.831,4.150,5.798
0.331,-0.234,0.946,-3.540,4.028,9.583
0.301,-0.226,0.944,-3.418,3.113,8.850
0.291,-0.220,0.939,-5.615,-1.770,7.141
0.247,-0.202,0.923,-4.456,-1.099,6.775
0.239,-0.207,0.921,0.854,5.005,4.822
0.250,-0.207,0.920,0.366,4.089,4.517
0.239,-0.193,0.917,-0.977,1.343,4.578
0.225,-0.186,0.911,2.563,2.258,0.793
0.268,-0.221,0.915,5.005,3.113,-2.502
0.297,-0.237,0.923,1.648,-3.052,-0.977
0.295,-0.236,0.926,0.488,-2.869,2.197
0.294,-0.240,0.930,3.174,4.211,4.089
0.307,-0.247,0.943,1.953,3.113,4.333
0.300,-0.243,0.946,-1.526,-2.930,4.578
0.281,-0.233,0.952,-0.183,-1.892,3.479
0.276,-0.228,0.953,3.967,2.197,1.282
0.263,-0.220,0.949,4.028,1.343,0.244
0.266,-0.226,0.950,1.343,-1.892,-1.587
0.277,-0.226,0.958,-0.305,-2.014,-0.793
0.273,-0.218,0.954,-2.136,0.977,1.221
0.267,-0.204,0.934,-1.343,2.502,0.610
0.270,-0.202,0.925,0.854,2.014,-2.075
0.288,-0.214,0.920,0.977,0.671,-2.686
0.294,-0.218,0.921,-0.366,-0.916,-0.671
0.287,-0.215,0.918,-0.183,-0.732,0.244
0.283,-0.212,0.920,2.258,0.671,-0.549
0.283,-0.210,0.930,3.052,0.854,-1.343
0.285,-0.211,0.930,2.380,-0.244,-1.709
0.278,-0.209,0.930,2.869,0.244,-1.465
0.285,-0.217,0.934,3.845,1.282,-1.709
0.303,-0.227,0.947,1.648,-0.854,-1.587
0.300,-0.224,0.944,-0.183,-1.770,-0.305
0.301,-0.221,0.939,0.671,2.197,0.671
0.302,-0.218,0.937,0.488,2.502,0.366
0.294,-0.214,0.932,-0.610,0.488,0.244
0.294,-0.223,0.935,0.366,1.404,0.122
0.303,-0.227,0.941,-1.160,1.038,1.343
0.285,-0.215,0.929,-2.625,0.671,2.625
0.268,-0.206,0.919,0.977,5.188,2.930
